Timestamp;Date;Type;Detail
16:18:05.2699690;20-02-2025;Session Status;Start;Environment: Museum;Display Mode: Museum;Browsing Mode: Online;;
16:18:12.1842909;20-02-2025;User Movement;New position: (1,138063,-1,192093E-07,2,325432);;
16:18:13.0191957;20-02-2025;User Movement;New position: (0,8914013,1,311302E-06,-1,015585);;
16:18:13.0202064;20-02-2025;User Movement;New position: (0,8914013,1,311302E-06,-1,015585);;
16:18:14.1860160;20-02-2025;User Movement;New position: (-1,751746,1,192093E-07,-3,951933);;
16:18:14.9761190;20-02-2025;User Movement;New position: (-3,929362,4,768372E-07,-6,070902);;
16:18:14.9781669;20-02-2025;User Movement;New position: (-3,929362,4,768372E-07,-6,070902);;
16:18:16.9093318;20-02-2025;User Movement;New position: (-7,359224,8,34465E-07,-8,044779);;
16:18:16.9104990;20-02-2025;User Movement;New position: (-7,359224,8,34465E-07,-8,044779);;
16:18:18.4285841;20-02-2025;User Movement;New position: (-8,452508,7,152557E-07,-8,1983);;
16:18:18.4306124;20-02-2025;User Movement;New position: (-8,452508,7,152557E-07,-8,1983);;
16:18:59.3193835;20-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
16:19:52.6406825;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
16:19:56.7073823;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
16:19:58.0489799;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
16:19:59.9020668;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
16:20:00.6628608;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
16:20:01.2561460;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
16:20:01.6787930;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
16:20:02.7369356;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
16:20:03.4482697;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
16:20:10.9520480;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
16:20:12.7485825;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
